District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
Judicial Centers,Girls Intermediate Residential Program (Girls IR),State Agency Facilities,3481515,11 Country Pl,Litchfield,06759,860-567-3809,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2017-07-01T00:00:00.000,,"11 Country Pl
Litchfield, CT 06759
(41.756995, -73.150024)"
Newington School District,Ruth Chaffee School,Public Schools,0940711,160 Superior Ave.,Newington,06111-3955,860-666-4687,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"160 Superior Ave.
Newington, CT 06111-3955
(41.682581, -72.71548)"
Danbury School District,DPS Early Childhood Center,Public Schools,0340111,17 Cottage Street,Danbury,06810,203-797-4832,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2013-08-27T00:00:00.000,,"17 Cottage Street
Danbury, CT 06810
(41.392592, -73.442821)"
Stamford School District,Dolan School,Public Schools,1355311,51 Toms Rd.,Stamford,06906-1022,203-977-4441,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"51 Toms Rd.
Stamford, CT 06906-1022
(41.078273, -73.524253)"
New Haven School District,Ross/Woodward School,Public Schools,0931011,185 Barnes Ave.,New Haven,06513,475-220-3100,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2004-07-01T00:00:00.000,1,"185 Barnes Ave.
New Haven, CT 06513
(41.322472, -72.876292)"
Hartford School District,Hartford Magnet Trinity College Academy,Public Schools,0645411,53 Vernon Street,Hartford,06103,860-757-6201,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1999-07-01T00:00:00.000,1,"53 Vernon Street
Hartford, CT 06103
(41.751262, -72.686491)"
Glastonbury School District,Naubuc School,Public Schools,0540711,82 Griswold St.,Glastonbury,06033-1006,860-652-7918,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"82 Griswold St.
Glastonbury, CT 06033-1006
(41.722695, -72.610851)"
Bridgeport School District,Jettie S. Tisdale School,Public Schools,0152211,250 Hollister Avenue,Bridgeport,06607,203-576-8037,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"250 Hollister Avenue
Bridgeport, CT 06607
(41.178933, -73.161141)"
Ledyard School District,Gales Ferry School,Public Schools,0720211,1858 Route 12,Gales Ferry,06335,860-464-7664,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1858 Route 12
Gales Ferry, CT 06335
(41.452931, -72.070674)"
Derby School District,Derby Middle School,Public Schools,0375011,73 Chatfield Street,Derby,06418,203-736-1426,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2010-01-04T00:00:00.000,0,"73 Chatfield Street
Derby, CT 06418
(41.336501, -73.098058)"
Plainfield School District,Plainfield Memorial School,Public Schools,1090311,95 Canterbury Rd.,Plainfield,06374-1557,860-564-6440,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"95 Canterbury Rd.
Plainfield, CT 06374-1557
(41.683666, -71.930014)"
North Branford School District,Totoket Valley Elementary School,Public Schools,0990611,1388 Middletown Ave.,Northford,06472-1380,203-484-1455,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"1388 Middletown Ave.
Northford, CT 06472-1380
(41.39202, -72.792331)"
Lisbon School District,Lisbon School District,Public School Districts,0730011,15 Newent Road,Lisbon,06351,860-376-5565,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"15 Newent Road
Lisbon, CT 06351
(41.60541, -72.016357)"
Fairfield School District,Jennings School,Public Schools,0511711,31 Palm Dr.,Fairfield,06824,203-255-8316,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"31 Palm Dr.
Fairfield, CT 06824
(41.186985, -73.245789)"
Southington School District,Joseph A. Depaolo Middle School,Public Schools,1315111,385 Pleasant St.,Southington,06489-2708,860-628-3260,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"385 Pleasant St.
Southington, CT 06489-2708
(41.607128, -72.85798)"
Berlin School District,Catherine M. McGee Middle School,Public Schools,0075111,899 Norton Rd.,Berlin,06037-3017,860-828-0323,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"899 Norton Rd.
Berlin, CT 06037-3017
(41.615546, -72.761533)"
Colchester School District,Colchester School District,Public School Districts,0280011,"127 Norwich Avenue, Suite 202",Colchester,06415,860-537-7267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"127 Norwich Avenue, Suite 202
Colchester, CT 06415
(41.574632, -72.327985)"
Danbury School District,Park Avenue School,Public Schools,0340811,82 Park Ave.,Danbury,06810-7630,203-797-4763,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"82 Park Ave.
Danbury, CT 06810-7630
(41.385266, -73.463234)"
Stamford School District,Northeast School,Public Schools,1351811,82 Scofieldtown Rd.,Stamford,06903-4020,203-977-4469,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"82 Scofieldtown Rd.
Stamford, CT 06903-4020
(41.123972, -73.547794)"
Ridgefield School District,Farmingville Elementary School,Public Schools,1180411,324 Farmington Rd.,Ridgefield,06877-4299,203-894-5570,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,
Bloomfield School District,Laurel School,Public Schools,0110611,1 Filley St.,Bloomfield,06002-1854,860-286-2675,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2012-07-01T00:00:00.000,0,"1 Filley St.
Bloomfield, CT 06002-1854
(41.8366, -72.722107)"
Norwich Free Academy District,Norwich Free Academy,Endowed and Incorporated Academies Schools,9016122,305 Broadway,Norwich,06360,860-887-2505,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"305 Broadway
Norwich, CT 06360
(41.536624, -72.083016)"
Bristol School District,South Side School,Public Schools,0171111,21 Tuttle Rd.,Bristol,06010-7147,860-584-7812,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1998-07-01T00:00:00.000,0,"21 Tuttle Rd.
Bristol, CT 06010-7147
(41.661335, -72.953044)"
Waterbury School District,Bucks Hill School,Public Schools,1510511,330 Bucks Hill Rd.,Waterbury,06704-1222,203-574-8182,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"330 Bucks Hill Rd.
Waterbury, CT 06704-1222
(41.600333, -73.0304)"
Meriden School District,John Barry School,Public Schools,0800511,124 Columbia St.,Meriden,06450-3171,203-237-8831,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"124 Columbia St.
Meriden, CT 06450-3171
(41.545413, -72.802369)"
East Haven School District,Carbone School/East Haven Academy,Public Schools,0441711,200 Tyler St.,East Haven,06512,203-468-3219,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"200 Tyler St.
East Haven, CT 06512
(41.275341, -72.876088)"
Stratford School District,Stratford Academy - Johnson House,Public Schools,1381511,719 Birdseye Street,Stratford,06615-6827,203-385-4180,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"719 Birdseye Street
Stratford, CT 06615-6827
(41.179873, -73.139271)"
New Haven School District,Fair Haven School,Public Schools,0931611,164 Grand Ave.,New Haven,06513,475-220-2600,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007-07-01T00:00:00.000,0,"164 Grand Ave.
New Haven, CT 06513
(41.309146, -72.8936)"
Middletown School District,Wesley School,Public Schools,0831411,10 Wesleyan Hills Rd.,Middletown,06457-4972,860-344-0381,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"10 Wesleyan Hills Rd.
Middletown, CT 06457-4972
(41.524185, -72.666089)"
Windsor School District,John F. Kennedy School,Public Schools,1640811,530 Park Ave.,Windsor,06095-3225,860-687-2060,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"530 Park Ave.
Windsor, CT 06095-3225
(41.836589, -72.674553)"
Enfield School District,Enfield School District,Public School Districts,0490011,1010 Enfield Street,Enfield,06082,860-253-6500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1010 Enfield Street
Enfield, CT 06082
(41.994001, -72.594205)"
East Granby School District,Allgrove School,Public Schools,0400111,33 Turkey Hills Rd.,East Granby,06026-9570,860-653-2505,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"33 Turkey Hills Rd.
East Granby, CT 06026-9570
(41.944164, -72.732)"
Hartford School District,Batchelder School,Public Schools,0640411,757 New Britain Avenue,Hartford,06106-3913,860-695-2720,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"757 New Britain Avenue
Hartford, CT 06106-3913
(41.733026, -72.707887)"
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Public Schools,0151511,840 Old Town Road,Bridgeport,06606,203-275-3300,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2013-08-29T00:00:00.000,1,"840 Old Town Road
Bridgeport, CT 06606
(41.224738, -73.1908)"
Newtown School District,Newtown High School,Public Schools,0976111,12 Berkshire Rd.,Sandy Hook,06482-1398,203-426-7646,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"12 Berkshire Rd.
Sandy Hook, CT 06482-1398
(41.410803, -73.269315)"
Torrington School District,Torrington High School,Public Schools,1436111,50 Major Besse Dr.,Torrington,06790-3793,860-489-2294,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"50 Major Besse Dr.
Torrington, CT 06790-3793
(41.815998, -73.112014)"
Stratford School District,Stratford High School,Public Schools,1386111,45 North Parade,Stratford,06615-5822,203-385-4230,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"45 North Parade
Stratford, CT 06615-5822
(41.197229, -73.132665)"
Litchfield School District,Litchfield High School,Public Schools,0746111,"14 Plumb Hill Road, P.O. Box 110",Litchfield,06759,860-567-7530,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"14 Plumb Hill Road, P.O. Box 110
Litchfield, CT 06759
(41.741886, -73.205297)"
Bristol School District,West Bristol School,Public Schools,0172011,500 Clark Avenue,Bristol,06010,860-584-7815,0,1,1,1,1,1,1,1,1,1,0,0,0,0,2012-07-01T00:00:00.000,0,"500 Clark Avenue
Bristol, CT 06010
(41.684537, -72.98422)"
Groton School District,S. B. Butler School,Public Schools,0590111,155 Ocean View Ave.,Mystic,06355-2239,860-572-5825,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"155 Ocean View Ave.
Mystic, CT 06355-2239
(41.349432, -71.982414)"
Great Oaks Charter School District,Great Oaks Charter School,Public Charter Schools,2940113,510 Barnum Ave.,Bridgeport,06608,203-870-8188,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2014-08-28T00:00:00.000,,"510 Barnum Ave.
Bridgeport, CT 06608
(41.187097, -73.179569)"
Norwalk School District,Brien McMahon High School,Public Schools,1036211,300 Highland Avenue,Norwalk,06854,203-852-9488,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"300 Highland Avenue
Norwalk, CT 06854
(41.086197, -73.435336)"
New Haven School District,"Celentano BioTech, Health and Medical Magnet School",Public Schools,0934811,400 Canner Street,New Haven,06511,475-220-3400,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1995-07-01T00:00:00.000,0,"400 Canner Street
New Haven, CT 06511
(41.325439, -72.921534)"
Naugatuck School District,City Hill Middle School,Public Schools,0885111,441 City Hill St.,Naugatuck,06770-3399,203-720-5246,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"441 City Hill St.
Naugatuck, CT 06770-3399
(41.493687, -73.034159)"
Stonington School District,Stonington School District,Public School Districts,1370011,49 North Stonington Road,Old Mystic,06372,860-572-0506,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"49 North Stonington Road
Old Mystic, CT 06372
(41.394171, -71.958073)"
Trumbull School District,Trumbull High School,Public Schools,1446111,72 Strobel Rd.,Trumbull,06611-5510,203-452-4555,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"72 Strobel Rd.
Trumbull, CT 06611-5510
(41.265283, -73.192583)"
Odyssey Community School District,Odyssey Community School,Public Charter Schools,2635113,579 West Middle Tpke.,Manchester,06040,860-645-1234,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"579 West Middle Tpke.
Manchester, CT 06040
(41.781068, -72.550499)"
Marlborough School District,Marlborough School District,Public School Districts,0790011,25 School Drive,Marlborough,06447,860-295-6236,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"25 School Drive
Marlborough, CT 06447
(41.62726, -72.460539)"
Milford School District,Live Oaks School,Public Schools,0841611,575 Merwin Ave.,Milford,06460-7136,203-783-3564,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"575 Merwin Ave.
Milford, CT 06460-7136
(41.238205, -72.996276)"
Unified School District #2,Walter G. Cady School,State Agency Facilities,3476715,1225 Silver St.,Middletown,06457,860-638-2700,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2001-07-01T00:00:00.000,0,"1225 Silver St.
Middletown, CT 06457
(41.557807, -72.621273)"
Regional School District 11,Regional School District 11,Regional School Districts,2110012,"304 Parish Hill Road, Box 277",Chaplin,06235,860-455-9306,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"304 Parish Hill Road, Box 277
Chaplin, CT 06235
(41.754074, -72.104711)"
Windham School District,Windham Middle School,Public Schools,1635111,123 Quarry St.,Willimantic,06226-2208,860-465-2351,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"123 Quarry St.
Willimantic, CT 06226-2208
(41.722216, -72.228525)"
Shelton School District,Long Hill School,Public Schools,1260811,565 Long Hill Ave.,Shelton,06484-4808,203-929-4077,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"565 Long Hill Ave.
Shelton, CT 06484-4808
(41.283713, -73.098382)"
Orange School District,Mary L. Tracy School,Public Schools,1070211,650 School House Lane,Orange,06477-2414,203-891-8028,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1989-07-01T00:00:00.000,0,"650 School House Lane
Orange, CT 06477-2414
(41.280612, -73.026378)"
Unified School District #1,MacDougall/Walker Correctional Institution,State Agency Facilities,3362215,1153 East St. South,Suffield,06078-2447,860-627-2127,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"1153 East St. South
Suffield, CT 06078-2447
(41.94919, -72.62806)"
New Hartford School District,Bakerville Consolidated School,Public Schools,0920111,51 Cedar Ln.,New Hartford,06057-2909,860-482-0288,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"51 Cedar Ln.
New Hartford, CT 06057-2909
(41.833918, -73.03474)"
Capitol Region Education Council,International Magnet School for Global Citizenship,Regional Education Service Center Schools,2410414,625 Chapel Road,South Windsor,06074,860-291-6001,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2008-09-02T00:00:00.000,1,"625 Chapel Road
South Windsor, CT 06074
(41.806542, -72.595282)"
Portland School District,Portland School District,Public School Districts,1130011,33 East Main Street,Portland,06480,860-342-6790,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"33 East Main Street
Portland, CT 06480
(41.575479, -72.634864)"
Mansfield School District,Mansfield School District,Public School Districts,0780011,4 South Eagleville Road,Storrs,06268,860-429-3350,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"4 South Eagleville Road
Storrs, CT 06268
(41.800685, -72.241767)"
Stratford School District,Lordship School,Public Schools,1380811,254 Crown St.,Stratford,06615-7511,203-385-4170,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"254 Crown St.
Stratford, CT 06615-7511
(41.153654, -73.12617)"
Griswold School District,Griswold Alternative School,Public Schools,0580111,1553 Glasgo Road,Griswold,06351,860-376-9129,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2014-08-27T00:00:00.000,,"1553 Glasgo Road
Griswold, CT 06351
(41.577938, -71.897243)"
West Hartford School District,Sedgwick Middle School,Public Schools,1555211,128 Sedgwick Rd.,West Hartford,06107-3002,860-570-6500,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"128 Sedgwick Rd.
West Hartford, CT 06107-3002
(41.750947, -72.754607)"
Willington School District,Hall Memorial School,Public Schools,1605111,111 River Rd.,West Willington,06279-1842,860-429-9391,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"111 River Rd.
West Willington, CT 06279-1842
(41.850667, -72.302168)"
Farmington School District,West District School,Public Schools,0520311,114 West District Road,Unionville,06085,860-673-2579,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"114 West District Road
Unionville, CT 06085
(41.736832, -72.879335)"
East Haven School District,East Haven School District,Public School Districts,0440011,35 Wheelbarrow Lane,East Haven,06513,203-468-3261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"35 Wheelbarrow Lane
East Haven, CT 06513
(41.327735, -72.832252)"
Regional School District 16,Laurel Ledge School,Regional Schools,2160112,30 Highland Ave.,Beacon Falls,06403-1199,203-729-5355,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"30 Highland Ave.
Beacon Falls, CT 06403-1199
(41.446453, -73.060327)"
Naugatuck School District,Salem School,Public Schools,0880611,124 Meadow St.,Naugatuck,06770,203-720-5242,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"124 Meadow St.
Naugatuck, CT 06770
(41.490622, -73.056714)"
Salem School District,Salem Elementary School,Public Schools,1210111,200 Hartford Rd.,Salem,06420-3804,860-859-0267,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"200 Hartford Rd.
Salem, CT 06420-3804
(41.4881, -72.274896)"
New Haven School District,Worthington Hooker School,Public Schools,0933811,180 Canner St.,New Haven,06511,475-220-7200,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"180 Canner St.
New Haven, CT 06511
(41.324009, -72.914063)"
Plainville School District,Plainville School District,Public School Districts,1100011,1 Central Square,Plainville,06062,860-793-3200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1 Central Square
Plainville, CT 06062
(41.671786, -72.866619)"
Regional School District 13,John Lyman School,Regional Schools,2130512,106 Way Rd.,Middlefield,06455-1059,860-349-7240,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"106 Way Rd.
Middlefield, CT 06455-1059
(41.517459, -72.725162)"
Connecticut Technical Education and Career System,Windham Technical High School,CT Technical Education and Career Schools,9002416,210 Birch St.,Willimantic,06226-2108,860-456-3879,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"210 Birch St.
Willimantic, CT 06226-2108
(41.719227, -72.220884)"
Torrington School District,Forbes School,Public Schools,1430211,500 Migeon Ave.,Torrington,06790,860-489-2500,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1986-07-01T00:00:00.000,0,"500 Migeon Ave.
Torrington, CT 06790
(41.812279, -73.132858)"
Cooperative Educational Services,Six-Six Magnet School,Regional Education Service Center Schools,2430114,601 Pearl Harbor St.,Bridgeport,06610,203-330-6775,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2000-07-01T00:00:00.000,1,"601 Pearl Harbor St.
Bridgeport, CT 06610
(41.204206, -73.160224)"
Greenwich School District,Parkway School,Public Schools,0571111,141 Lower Cross Rd.,Greenwich,06831-3033,203-869-7466,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1992-07-01T00:00:00.000,0,"141 Lower Cross Rd.
Greenwich, CT 06831-3033
(41.11044, -73.653537)"
Norwalk School District,Center for Global Studies,Public Schools,1030511,300 Highland Avenue,Norwalk,06854,203-852-9488,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2016-08-30T00:00:00.000,1,"300 Highland Avenue
Norwalk, CT 06854
(41.086197, -73.435336)"
Waterford School District,Quaker Hill Elementary School,Public Schools,1520711,285 Bloomingdale Rd.,Quaker Hill,06375,860-442-1095,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2008-07-15T00:00:00.000,0,"285 Bloomingdale Rd.
Quaker Hill, CT 06375
(41.401808, -72.115762)"
Wilton School District,Wilton High School,Public Schools,1616111,395 Danbury Rd.,Wilton,06897-2006,203-762-0381,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"395 Danbury Rd.
Wilton, CT 06897-2006
(41.2109, -73.431868)"
Cromwell School District,Woodside Intermediate School,Public Schools,0330311,30 Woodside Rd.,Cromwell,06416,860-632-3564,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2006-07-01T00:00:00.000,0,"30 Woodside Rd.
Cromwell, CT 06416
(41.624217, -72.660557)"
New Milford School District,Sarah Noble Intermediate School,Public Schools,0960911,25 Sunny Valley Rd.,New Milford,06776-3333,860-210-4020,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2001-07-01T00:00:00.000,0,"25 Sunny Valley Rd.
New Milford, CT 06776-3333
(41.567944, -73.415676)"
Regional School District 18,Lyme-Old Lyme High School,Regional Schools,2186112,69 Lyme St.,Old Lyme,06371-2335,860-434-1651,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"69 Lyme St.
Old Lyme, CT 06371-2335
(41.319792, -72.32924)"
Regional School District 06,Warren Elementary School,Regional Schools,2060312,21 Sackett Hill Rd.,Warren,06754-1713,860-868-2223,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"21 Sackett Hill Rd.
Warren, CT 06754-1713
(41.740588, -73.347848)"
Regional School District 17,Haddam Elementary School,Regional Schools,2170112,272 Saybrook Road,Higganum,06441-4336,860-345-4551,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"272 Saybrook Road
Higganum, CT 06441-4336
(41.497499, -72.56161)"
Connecticut Technical Education and Career System,H. C. Wilcox Technical High School,CT Technical Education and Career Schools,9001716,298 Oregon Rd.,Meriden,06450,203-238-6260,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"298 Oregon Rd.
Meriden, CT 06450
(41.52599, -72.833911)"
Redding School District,John Read Middle School,Public Schools,1175111,486 Redding Road,Redding,06896,203-938-2533,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"486 Redding Road
Redding, CT 06896
(41.305336, -73.403194)"
West Haven School District,Seth G. Haley School,Public Schools,1560411,148 South St.,West Haven,06516-7149,203-931-6810,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"148 South St.
West Haven, CT 06516-7149
(41.242193, -72.977618)"
Hartford School District,"High School, Inc.",Public Schools,0647611,150 Tower Avenue,Hartford,06112,860-695-7106,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2009-07-01T00:00:00.000,0,"150 Tower Avenue
Hartford, CT 06112
(41.797635, -72.670349)"
Avon School District,Avon School District,Public School Districts,0040011,34 Simsbury Road,Avon,06001,860-404-4700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"34 Simsbury Road
Avon, CT 06001
(41.813384, -72.830237)"
Regional School District 14,Nonnewaug High School,Regional Schools,2146112,"5 Minortown Road, P.O. Box 469",Woodbury,06798-0469,203-263-2186,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"5 Minortown Road, P.O. Box 469
Woodbury, CT 06798-0469
(41.557432, -73.188332)"
Derby School District,Derby School District,Public School Districts,0370011,35 Fifth Street,Derby,06418,203-736-5027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"35 Fifth Street
Derby, CT 06418
(41.322898, -73.090251)"
Wethersfield School District,Highcrest School,Public Schools,1591111,95 Highcrest Rd.,Wethersfield,06109-4030,860-571-8380,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"95 Highcrest Rd.
Wethersfield, CT 06109-4030
(41.680423, -72.683024)"
Hartford School District,Montessori Magnet at Fisher School,Public Schools,0643711,280 Plainfield Street,Hartford,06112-1028,860-695-3560,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2008-08-25T00:00:00.000,1,"280 Plainfield Street
Hartford, CT 06112-1028
(41.791455, -72.70817)"
Bridgeport School District,Beardsley School,Public Schools,0150211,500 Huntington Rd.,Bridgeport,06610-1709,203-576-7184,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"500 Huntington Rd.
Bridgeport, CT 06610-1709
(41.199833, -73.182001)"
Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,Regional Education Service Center Schools,2416414,15 Vernon St.,Hartford,06106,860-757-6321,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2007-08-05T00:00:00.000,1,"15 Vernon St.
Hartford, CT 06106
(41.751379, -72.684141)"
Hamden School District,Hamden High School,Public Schools,0626111,2040 Dixwell Ave.,Hamden,06514-2404,203-407-2040,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"2040 Dixwell Ave.
Hamden, CT 06514-2404
(41.366204, -72.921458)"
Danbury School District,King Street Primary School,Public Schools,0341311,151 South King St.,Danbury,06811-3540,203-797-4744,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"151 South King St.
Danbury, CT 06811-3540
(41.423085, -73.501814)"
New Haven School District,Cortlandt V.R. Creed Health and Sport Sciences High School,Public Schools,0936811,88 Bassett Road,North Haven,06473,475-220-6300,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1995-07-01T00:00:00.000,1,"88 Bassett Road
North Haven, CT 06473
(41.397451, -72.838237)"
Colchester School District,Bacon Academy,Public Schools,0286111,611 Norwich Ave.,Colchester,06415-2142,860-537-2378,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"611 Norwich Ave.
Colchester, CT 06415-2142
(41.574708, -72.300726)"
Tolland School District,Tolland Intermediate School,Public Schools,1420211,96 Old Post RD,Tolland,06084-3325,860-870-6885,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"96 Old Post RD
Tolland, CT 06084-3325
(41.869062, -72.375479)"
